name,state,location,control,for_profit,religious_affiliation,degree_type,distance,historically_black,enrollment,founded_in,closed_merged_in,accreditation
LIU Brooklyn,New York,Brooklyn,Private,0,Catholic,,,,"9,490",1946,,
LIU Post,New York,Brookville,Private,0,Catholic,,,,"10,655",1946,,
Le Moyne College,New York,Syracuse,Private,1,Jesuit,,,,"4,078",1946,,
Evelyn College for Women,New Jersey,Princeton,Private,1,Christian,,,,,1946,1897,
Maria College of Albany,New York,Albany,Private,0,Catholic,,,,"1,049",1946,,
Medaille College,New York,Buffalo,Private,0,Catholic,,,,"2,666",1946,,
Mercy College,New York,Dobbs Ferry,Private,0,Catholic,,,,"14,787",1946,,
Mesivtha Tifereth Jerusalem of America,New York,New York,Private,1,Jewish,,,,87,1946,,
Metropolitan College of New York,New York,New York,Private,0,Non-sectarian,,,,"1,731",1946,,
Teachers College at Columbia University,New York,New York,Private,1,Non-sectarian,Specialized Focus: Education,,,"6,526",1946,,
Molloy College,New York,Rockville Centre,Private,0,Catholic,,,,"8,226",1946,,
Pratt Institute-Main,New York,Brooklyn,Private,0,Secularism,,,,"5,413",1946,,
Mount Saint Mary College,New York,Newburgh,Private,0,Catholic,,,,"2,857",1946,,
Nazareth College,New York,Rochester,Private,1,Christian,,,,"3,156",1946,,
New York Institute of Technology,New York,Old Westbury,Private,1,Non-sectarian,,,,"9,208",1946,,
Campbell University,North Carolina,Buies Creek,Private,1,0,Baccalaureate College,,,"6,448",1947,,
Pacific College of Oriental Medicine-New York,New York,New York,Private,1,Non-sectarian,,,,805,1947,,
Paul Smiths College of Arts and Science,New York,Paul Smiths,Private,1,Non-sectarian,,,,945,1947,,
North Carolina State University,North Carolina,Raleigh,Public,0,0,Doctoral University,,,"34,340",1947,,
University of North Carolina at Pembroke,North Carolina,Pembroke,Public,0,0,Masters University,,,"6,269",1947,,
Sinclair Community College,Ohio,Dayton,Public,0,Non-sectarian,Associates College,,,,1947,,
Cedarville University,Ohio,Cedarville,Private,0,0,Baccalaureate College,,,,1947,,
Central State University,Ohio,Wilberforce,Public,0,0,Baccalaureate College,,1,,1947,,
Mount Angel Seminary,Oregon,St. Benedict,Private,1,Catholic,Seminary,,,177,1947,,
Baker City Normal & Business College,Oregon,Baker,x,x,Non-sectarian,,,,,1947,1905,
Mount Angel College,Oregon,St. Benedict,x,x,Catholic,,,,,1947,1973,
Whitney Business College,Oregon,Baker,x,x,Non-sectarian,,,,,1947,1891,
Theological Seminary of the Reformed Episcopal Church,Pennsylvania,Whitpain Township(Montgomery County),Private,1,Reformed Episcopal Church,Seminary,,,19,1947,,
Wessington Springs College,South Dakota,Wessington Springs,Private,1,Catholic,,,,,1947,1964,
Catholic University of America,Virginia,Arlington,Private,1,Catholic,Doctoral University,,,"5,956",1947,,MSCHE
SUNY Empire State College,New York,Saratoga Springs,Public,0,Secularism,,,,"19,574",1947,,
SUNY Institute of Technology at Utica-Rome,New York,Utica,Public,0,Secularism,,,,"3,213",1947,,
Bethel College,Virginia,Hampton,Private,1,0,Seminary,,,76,1947,,none
Gonzaga University,Washington,Spokane,Private,0,0,Doctoral University,,,"7,501",1947,,
SUNY at Purchase College,New York,Purchase,Public,0,Secularism,,,,"4,989",1947,,
Alverno College,Wisconsin,Milwaukee,Private,0,0,Masters University,,,"2,759",1947,,"HLC, CCNE, NASM, NCATE"
Sotheby's Institute of Art-NY,New York,New York,Private,1,Non-sectarian,,,,266,1947,,
Gordon–Conwell Theological Seminary,Florida,Jacksonville,Private,1,"Protestant, evangelical",Seminary,,,,1947,1969 merger,
Brigham Young University–Idaho,Idaho,Rexburg,Private,1,Mormon,Baccalaureate College,,,"19,399",1947,,
University of the Cumberlands,Kentucky,,Private,1,Christian,Baccalaureate College,,,,1947,,
Clarkson College,Nebraska,Omaha,Private,0,Catholic,,,,"1,200",1948,,
New Mexico State University,New Mexico,"Las Cruces (Main)Alamogordo
",Public,0,0,Doctoral University,,,"18,712",1948,,
Tiffin University,Ohio,Tiffin,Private,0,0,Masters University,,,,1948,,
United States Merchant Marine Academy,New York,Kings Point,Private,1,Secularism,,,,985,1948,,
Utica College,New York,Utica,Private,1,Non-sectarian,,,,"5,176",1948,,
Villa Maria College,New York,Buffalo,Private,1,Catholic,,,,531,1948,,
Pontifical College Josephinum,Ohio,Columbus,Private,0,Catholic,Seminary,,,,1948,,
University of Scranton,Pennsylvania,Scranton(Lackawanna County),Private,1,Roman Catholic Church - Society of Jesus,Baccalaureate College,,,"6,070",1948,,
Lane College,Tennessee,Jackson,Private,1,Christian Methodist Episcopal,Baccalaureate College,,,,1948,,
Utah State University,Utah,Logan,Public,0,0,Doctoral University,,,,1948,,
Saint Paul's College,Virginia,Lawrenceville,x,x,Catholic,,,,,1948,2013,
University of Puget Sound,Washington,Tacoma,Private,0,0,Baccalaureate College,,,"2,666",1948,,
Mountain State College,West Virginia,Parkersburg,Private,1,Christian,Associates College,,,153,1948,,ACICS
University of Charleston,West Virginia,Charleston,Private,0,0,Baccalaureate College,,,"1,427",1948,,"ACEN, ACPE, JRCERT, NCATE, HLC, TEAC"
Salem University,West Virginia,Salem,Private,1,0,Masters University,,,850,1949,,"HLC, NCATE"
High Point University,North Carolina,High Point,Private,0,0,Baccalaureate College,,,"5,137",1949,,
Daniel Payne College,Alabama,Birmingham,Private,1,AME,Baccalaureate College,,,,1949,1979,
Chamberlain College of Nursing,Arizona,Phoenix,Private,1,Catholic,Masters University,,,271,1949,,
University of Northern Colorado,Colorado,Greeley,Public,0,0,Doctoral University,,,"12,862",1949,,
Eastern Connecticut State University,Connecticut,Willimantic,Public,0,0,Masters University,,,"5,362",1949,,
North Carolina Wesleyan College,North Carolina,Rocky Mount,Private,1,0,Baccalaureate College,,,"2,035",1949,,
Saint Leo University,Florida,St. Leo,Private,0,Catholic,Baccalaureate College,,,,1949,,
University of Mount Olive,North Carolina,Mount Olive,Private,1,0,Baccalaureate College,,,"3,208",1949,,
University of Idaho,Idaho,Moscow,Public,0,0,Doctoral University,,,"11,702",1949,,
Chamberlain University,Illinois,Downers Grove,Private,1,Christian,Specialized Focus: Nursing,,,"14,673",1949,,
International Business College–Indianapolis,Indiana,Indianapolis,Private,1,Non-sectarian,Associates College,,,403,1949,,"ACICS, ADA"
Carolina Christian College,North Carolina,Winston-Salem,Private,1,Christian,Baccalaureate College,,,70,1950,,
Carolinas College of Health Sciences,North Carolina,Charlotte,Private,1,Non-sectarian,Baccalaureate College,,,467,1950,,
International Business College,Indiana,Fort Wayne,Private,1,Non-sectarian,Baccalaureate College,,,438,1950,,ACICS
University of Pikeville,Kentucky,,Private,1,Presbyterian Church,Baccalaureate College,,,,1950,,
Nazareth College,Michigan,Kalamazoo,Private,1,Catholic,,,,,1950,1992,
Missouri Valley College,Missouri,Marshall,Private,1,Presbyterian Church (USA),Baccalaureate College,,,"1,789",1950,,
Montana Technological University,Montana,Butte,Public,0,0,Doctoral University,,,"2,421",1950,,
Mid-Atlantic Christian University,North Carolina,Elizabeth City,Private,1,Christian,Baccalaureate College,,,218,1950,,
Cotner College,Nebraska,Bethany Heights (Lincoln),x,x,Christian,,,,,1950,1933,
Saint Anselm College,New Hampshire,Goffstown,Private,0,Catholic,Baccalaureate College,,,"1,927",1950,,
School of Communication Arts,North Carolina,Raleigh,Private,1,Secular,Baccalaureate College,,,,1950,,
University of New Mexico,New Mexico,Albuquerque (Main)Gallup,Public,0,0,Doctoral University,,,"30,640",1950,,
New Mexico Institute of Mining and Technology,New Mexico,Socorro (Main),Public,1,0,Doctoral University,,,"1,895",1950,,
Barnard College,New York,New York,Private,1,Secularism,Baccalaureate College,,,"2,696",1950,,
SUNY College at Plattsburgh,New York,Plattsburgh,Public,0,Roman Catholic,Baccalaureate College,,,"6,754",1950,,
SUNY Oneonta,New York,Oneonta,Public,0,Roman Catholic,Baccalaureate College,,,"6,708",1950,,
Webb Institute,New York,Glen Cove,Private,1,Christian,,,,90,1950,,
Elon University,North Carolina,Elon,Private,1,0,Doctoral University,,,"6,991",1951,,
University of North Carolina at Charlotte,North Carolina,Charlotte,Public,0,Non-sectarian,Doctoral University,,,"27,238",1951,,
Western Carolina University,North Carolina,Cullowhee,Public,0,0,Masters University,,,"9,608",1951,,
University of North Carolina at Wilmington,North Carolina,Wilmington,Public,0,0,Doctoral University,,,"13,733",1951,,
Mayville State University,North Dakota,Mayville,Public,1,0,Baccalaureate College,,,982,1951,,"Higher Learning Commission(HLC), NCATE"
College of Philomath,Oregon,Philomath,x,x,Christian,,,,,1951,1912,
Clemson University,South Carolina,Clemson,Public,0,0,Doctoral University,,,24951,1951,,SACS
Howard Payne University,Texas,,Private,1,Baptist,Baccalaureate College,,,,1951,,
Mount Eagle College & University,North Carolina,Winston-Salem,Private,1,Secular,Doctoral University,,,,1952,,
Texas A&M University–Commerce,Texas,,Public,0,0,Doctoral University,,,"12,321",1952,,
Weber State University,Utah,Ogden,Public,1,0,Masters University,,,,1952,,
Saint Leo University,Virginia,Multiple[10],Private,1,Catholic,Masters University,,,"5,232",1952,,SACS
Chamberlain College of Nursing,Virginia,Arlington,Private,1,0,Specialized Focus: Medicine,,,,1952,,HLC
University of North Carolina at Asheville,North Carolina,Asheville,Public,0,0,Masters University,,,"3,751",1952,,
Penn Foster College,Arizona,Scottsdale,Private,1,Non-sectarian,Baccalaureate College,,,,1953,,
Henderson State University,Arkansas,Arkadelphia,Public,0,Methodist,Masters University,,,"3,583",1953,,
Dominican University of California,California,San Rafael,Private,1,Roman Catholic (Dominican Order),Masters University,,,,1953,,
Post University,Connecticut,Waterbury,Private,1,0,Masters University,,,"7,681",1953,,
Carolina University,North Carolina,Winston-Salem,Private,0,0,Masters University,,,669,1953,,
Methodist University,North Carolina,Fayetteville,Private,0,0,Masters University,,,"2,092",1953,,
Savannah State University,Georgia,Savannah,Public,0,Non-sectarian,Baccalaureate College,,1,,1953,,
University of Chicago,Illinois,Chicago,Private,1,Christian,Baccalaureate College,,,"14,467",1953,,
Charlotte Christian College and Theological Seminary,North Carolina,Charlotte,Private,1,Nondenominational,Seminary,,,80,1953,,
Gordon-Conwell Theological Seminary,North Carolina,Charlotte,Private,1,"Protestant, evangelical",Seminary,,,"1,696",1954,,
Southeastern Baptist Theological Seminary,North Carolina,Wake Forest,Private,1,Baptist,Seminary,,,"2,638",1954,,
Southeastern Free Will Baptist College,North Carolina,Wendell,Private,0,Baptist,Seminary,,,55,1954,,
Columbia College Chicago,Illinois,Chicago,Private,1,Secularism,Baccalaureate College,,,"6,542",1954,,
University of North Carolina School of the Arts,North Carolina,Winston-Salem,Public,0,Secular,Specialized Focus: Art,,,808,1954,,
Living Arts College,North Carolina,Raleigh,Private,1,Non-sectarian,Specialized Focus: Arts,,,"2,000",1954,"Accrediting Council for Independent Colleges and Schools,",
The Art Institute of Charlotte,North Carolina,Charlotte,Private,1,Non-sectarian,Specialized Focus: Arts,,,,1954,2018,
Bismarck State College,North Dakota,Bismarck,Public,0,Catholic,Associates College,,,"4,177",1954,,Higher Learning Commission (HLC)
Illinois Institute of Technology,Illinois,Chicago,Private,1,Christian,Baccalaureate College,,,"7,792",1954,,
Lake Region State College,North Dakota,Devils Lake,Public,0,Non-sectarian,Associates College,,,"1,913",1954,,Higher Learning Commission (HLC)
University of Saint Francis,Indiana,Fort Wayne,Private,0,0,Masters University,,,"2,329",1954,,"HLC, APTA, CCNE, JRCERT, NASAD, TCATE, NLNAC"
Williston State College,North Dakota,Williston,Public,0,Non-sectarian,Associates College,,,932,1954,,Higher Learning Commission (HLC)
Highland Park College,Iowa,Des Moines,Private,1,Methodist,,,,,1954,1918,
Westmar University,Iowa,Le Mars,Private,1,Christian,,,,,1955,1997,
Asbury University,Kentucky,,Private,1,Christian,Baccalaureate College,,,,1955,,
Rasmussen College,North Dakota,"Fargo, Bismarck",Private,0,Non-sectarian,Baccalaureate College,,,"1,765",1955,,Higher Learning Commission (HLC)
Mount Saint Agnes College,Maryland,Baltimore,x,x,Catholic,,,,,1955,1971,
Millsaps College - Jackson,Mississippi,,Private,1,Catholic,Baccalaureate College,,,,1955,,
University of Mary,North Dakota,"Bismarck, Fargo, Watford City, Grand Forks",Private,0,Order of Saint Benedict,Doctoral University,,,"3,317",1955,,"Higher Learning Commission(HLC), AOTA, APTA, CCNE"
York College,Nebraska,York,Private,1,Churces of Christ,,,,459,1955,,
Keuka College,New York,Keuka Park,Private,1,Secularism,,,,"2,229",1955,,
Trinity Bible College,North Dakota,Ellendale,Private,0,Assemblies of God,Seminary,,,285,1955,,ABHE
Medcenter One College of Nursing,North Dakota,Bismarck,Private,0,Non-sectarian,Specialized Focus: Medicine,,,91,1955,,"Higher Learning Commission(HLC), CCNE"
Cankdeska Cikana Community College,North Dakota,Fort Totten,Public,0,Non-sectarian,Tribal college,,,220,1956,,Higher Learning Commission (HLC)
Nueta Hidatsa Sahnish College,North Dakota,New Town,Public,0,Non-sectarian,Tribal college,,,215,1956,,Higher Learning Commission (HLC)
Sitting Bull College,North Dakota,Fort Yates,Public,0,Non-sectarian,Tribal college,,,314,1956,,Higher Learning Commission (HLC)
Turtle Mountain Community College,North Dakota,Belcourt,Private,0,Non-sectarian,Tribal college,,,969,1956,,Higher Learning Commission (HLC)
United Tribes Technical College,North Dakota,Bismarck,Private,0,Non-sectarian,Tribal college,,,600,1956,,"Higher Learning Commission(HLC), NLNAC"
Valley City State University,North Dakota,Valley City,Public,0,0,Baccalaureate College,,,"1,285",1956,,"Higher Learning Commission(HLC), NASM, NCATE"
North Dakota State University,North Dakota,Fargo,Public,0,Non-sectarian,Doctoral University,,,"14,407",1956,,"Higher Learning Commission(HLC), ACPE, AAMFT, ADA, CCNE, NASAD, NASM, NAST, NCATE"
Dakota Business College,North Dakota,Fargo,Private,1,Methodist,,,,,1956,1978,
Beckfield College,Ohio,Springdale,Private,1,Non-sectarian,Associates College,,,,1956,,
Belmont College,Ohio,St. Clairsville,Public,0,Christian,Associates College,,,,1956,,
Central Ohio Technical College,Ohio,Newark,Public,0,Catholic,Associates College,,,,1956,,
Chatfield College,Ohio,Cincinnati,Private,0,Catholic,Associates College,,,,1956,,
Cincinnati State Technical and Community College,Ohio,Cincinnati,Public,0,Non-sectarian,Associates College,,,,1956,,
Clark State Community College,Ohio,Springfield,Public,0,Non-sectarian,Associates College,,,,1956,,
Cleveland Institute of Electronics,Ohio,Cleveland,Private,1,Non-sectarian,Associates College,,,,1956,,
Columbus State Community College,Ohio,Columbus,Public,0,0,Associates College,,,,1956,,
Cuyahoga Community College,Ohio,Cleveland,Public,0,Non-sectarian,Associates College,,,,1956,,
Daymar College[11],Ohio,Various,Private,1,Non-sectarian,Associates College,,,,1956,,
Eastern Gateway Community College,Ohio,Steubenville and Youngstown,Public,0,Non-sectarian,Associates College,,,,1956,,
